iter	Passed	Remaining
552	3384	2736
553	3390	2729
554	3396	2723
555	3402	2716
556	3407	2710
557	3413	2703
558	3419	2697
559	3425	2691
560	3430	2684
561	3436	2678
562	3442	2671
563	3447	2665
564	3453	2659
565	3459	2652
566	3465	2646
567	3470	2639
568	3476	2633
569	3481	2626
570	3487	2619
571	3493	2613
572	3498	2607
573	3504	2601
574	3510	2594
575	3515	2587
576	3521	2581
577	3526	2575
578	3533	2569
579	3541	2564
580	3547	2558
581	3553	2552
582	3559	2546
583	3566	2540
584	3571	2533
585	3577	2527
586	3582	2520
587	3588	2514
588	3593	2507
589	3599	2501
590	3605	2495
591	3611	2489
592	3619	2484
593	3627	2479
594	3635	2474
595	3642	2469
596	3649	2463
597	3655	2457
598	3661	2450
599	3666	2444
600	3672	2438
601	3678	2432
602	3684	2425
603	3690	2419
604	3696	2413
605	3702	2407
606	3708	2400
607	3714	2394
608	3720	2388
609	3726	2382
610	3731	2375
611	3737	2369
612	3743	2363
613	3749	2357
614	3755	2350
615	3761	2344
616	3767	2338
617	3773	2332
618	3778	2325
619	3783	2318
620	3789	2312
621	3795	2306
622	3801	2300
623	3809	2295
624	3816	2289
625	3822	2283
626	3827	2277
627	3833	2270
628	3839	2264
629	3844	2258
630	3850	2251
631	3855	2245
632	3862	2239
633	3867	2232
634	3873	2226
635	3879	2220
636	3887	2215
637	3893	2209
638	3899	2202
639	3905	2196
640	3911	2190
641	3916	2184
642	3922	2177
643	3928	2171
644	3934	2165
645	3940	2159
646	3945	2152
647	3951	2146
648	3957	2140
649	3962	2133
650	3968	2127
651	3973	2120
652	3979	2114
653	3985	2108
654	3991	2102
655	3997	2096
656	4003	2089
657	4008	2083
658	4014	2077
659	4019	2070
660	4025	2064
661	4031	2058
662	4037	2052
663	4043	2046
664	4049	2040
665	4055	2033
666	4061	2027
667	4067	2021
668	4073	2015
669	4079	2009
670	4084	2002
671	4090	1996
672	4096	1990
673	4102	1984
674	4108	1978
675	4114	1971
676	4120	1965
677	4125	1959
678	4131	1953
679	4137	1947
680	4142	1940
681	4148	1934
682	4154	1928
683	4159	1921
684	4166	1915
685	4171	1909
686	4179	1904
687	4187	1899
688	4193	1893
689	4199	1886
690	4206	1880
691	4212	1874
692	4218	1868
693	4224	1862
694	4230	1856
695	4237	1850
696	4243	1844
697	4249	1838
698	4255	1832
699	4261	1826
700	4266	1819
701	4272	1813
702	4278	1807
703	4284	1801
704	4290	1795
705	4295	1788
706	4300	1782
707	4306	1776
708	4312	1770
709	4319	1764
710	4324	1757
711	4330	1751
712	4335	1745
713	4342	1739
714	4348	1733
715	4355	1727
716	4361	1721
717	4366	1715
718	4373	1709
719	4379	1702
720	4384	1696
721	4390	1690
722	4395	1684
723	4402	1678
724	4408	1672
725	4414	1666
726	4420	1659
727	4425	1653
728	4431	1647
729	4436	1641
730	4442	1634
731	4449	1628
732	4454	1622
733	4460	1616
734	4466	1610
735	4472	1604
736	4478	1598
737	4484	1592
738	4490	1586
739	4496	1579
740	4502	1573
741	4508	1567
742	4514	1561
743	4519	1555
744	4526	1549
745	4532	1543
746	4538	1537
747	4544	1530
748	4549	1524
749	4555	1518
750	4560	1512
751	4566	1505
752	4571	1499
753	4577	1493
754	4583	1487
755	4589	1481
756	4594	1474
757	4600	1468
758	4607	1462
759	4612	1456
760	4619	1450
761	4624	1444
762	4630	1438
763	4636	1432
764	4642	1426
765	4648	1420
766	4655	1414
767	4661	1408
768	4667	1402
769	4672	1395
770	4678	1389
771	4684	1383
772	4690	1377
773	4695	1371
774	4701	1364
775	4707	1358
776	4712	1352
777	4718	1346
778	4724	1340
779	4730	1334
780	4735	1328
781	4741	1321
782	4747	1315
783	4753	1309
784	4759	1303
785	4764	1297
786	4774	1292
787	4780	1286
788	4786	1280
789	4792	1273
790	4798	1267
791	4804	1261
792	4810	1255
793	4817	1249
794	4824	1243
795	4830	1238
796	4837	1232
797	4844	1226
798	4852	1220
799	4859	1214
800	4867	1209
801	4874	1203
802	4881	1197
803	4886	1191
804	4892	1185
805	4899	1179
806	4905	1173
807	4910	1166
808	4916	1160
809	4922	1154
810	4928	1148
811	4934	1142
812	4940	1136
813	4946	1130
814	4952	1124
815	4958	1118
816	4964	1112
817	4970	1105
818	4976	1099
819	4982	1093
820	4989	1087
821	4995	1081
822	5001	1075
823	5007	1069
824	5013	1063
825	5019	1057
826	5025	1051
827	5031	1045
828	5037	1039
829	5045	1033
830	5050	1027
831	5056	1020
832	5063	1015
833	5071	1009
834	5077	1003
835	5091	998
836	5101	993
837	5107	987
838	5112	981
839	5118	975
840	5125	968
841	5132	963
842	5138	956
843	5144	950
844	5150	944
845	5156	938
846	5162	932
847	5168	926
848	5174	920
849	5180	914
850	5186	908
851	5191	901
852	5197	895
853	5203	889
854	5208	883
855	5214	877
856	5221	871
857	5227	865
858	5233	859
859	5239	852
860	5245	846
861	5251	840
862	5257	834
863	5262	828
864	5269	822
865	5275	816
866	5281	810
867	5287	804
868	5294	798
869	5301	792
870	5307	786
871	5314	780
872	5321	774
873	5328	768
874	5336	762
875	5344	756
876	5352	750
877	5358	744
878	5364	738
